,SIMCARD,LINEA,TOTAL,RAZON SOCIAL
0,8957123112215166354,9101426921,33.71,TRACKING SOLUTIONS TSO
1,8957123112215165653,9101140437,32.69,TRACKING SOLUTIONS TSO
2,8957123112215383793,9101191443,32.29,TRACKING SOLUTIONS TSO
3,8957123112215165505,9101330521,32.13,TRACKING SOLUTIONS TSO
4,8957123112215166859,9101313382,32.13,TRACKING SOLUTIONS TSO
5,8957123112215383785,9101330947,31.93,TRACKING SOLUTIONS TSO
6,8957123110529628689,9101184360,24.17,TRACKING SOLUTIONS TSO
7,8957123112215169267,9101441904,24.16,TRACKING SOLUTIONS TSO
8,8957123112215169283,9101442842,21.24,TRACKING SOLUTIONS TSO
9,8957123112215383926,9101307192,18.98,TRACKING SOLUTIONS TSO
10,8957123112215164623,9101189726,18.65,TRACKING SOLUTIONS TSO
11,8957123112215165729,9101405654,18.09,TRACKING SOLUTIONS TSO
12,8957123112215166073,9101159849,17.54,TRACKING SOLUTIONS TSO
13,8957123112215163203,9101156148,17.52,TRACKING SOLUTIONS TSO
14,8957123112215163351,9101140640,17.17,TRACKING SOLUTIONS TSO
15,8957123112215163260,9101196415,16.54,TRACKING SOLUTIONS TSO
16,8957123112215161967,9101185715,16.34,TRACKING SOLUTIONS TSO
17,8957123112215168558,9101193646,16.22,TRACKING SOLUTIONS TSO
18,8957123112215166966,9101198022,15.31,TRACKING SOLUTIONS TSO
19,8957123112215164219,9101053687,15.2,TRACKING SOLUTIONS TSO
20,8957123112215163187,9101190927,14.59,TRACKING SOLUTIONS TSO
21,8957123112009138999,9101183231,14.03,TRACKING SOLUTIONS TSO
22,8957123112215169325,9101189757,13.69,TRACKING SOLUTIONS TSO
23,8957123112215166925,9101324018,13.64,TRACKING SOLUTIONS TSO
24,8957123112215166800,9101168131,13.49,TRACKING SOLUTIONS TSO
25,8957123111901412189,9101164041,13.09,TRACKING SOLUTIONS TSO
26,8957123411800584033,9101140882,12.04,TRACKING SOLUTIONS TSO
27,8957123112215169192,9101431610,11.37,TRACKING SOLUTIONS TSO
28,8957123112215163229,9101167789,11.09,TRACKING SOLUTIONS TSO
29,8957123112215169333,9101195502,10.83,TRACKING SOLUTIONS TSO
30,8957123411800053252,9101138933,10.68,TRACKING SOLUTIONS TSO
31,8957123112215348275,9101126880,10.63,TRACKING SOLUTIONS TSO
32,8957123112006378630,9101141801,10.45,TRACKING SOLUTIONS TSO
33,8957123111901412148,9101148530,10.43,TRACKING SOLUTIONS TSO
34,8957123112009139096,9101153389,10.16,TRACKING SOLUTIONS TSO
35,8957123112009139344,9101178358,9.91,TRACKING SOLUTIONS TSO
36,8957123112009139336,9101329885,9.84,TRACKING SOLUTIONS TSO
37,8957123111901412155,9101146648,9.73,TRACKING SOLUTIONS TSO
38,8957123411800583969,9101144641,9.72,TRACKING SOLUTIONS TSO
39,8957123110545806723,9101275760,9.63,TRACKING SOLUTIONS TSO
40,8957123411800583985,9101146581,9.47,TRACKING SOLUTIONS TSO
41,8957123112215165646,9101163588,9.43,TRACKING SOLUTIONS TSO
42,8957123112215340298,9101415583,9.31,TRACKING SOLUTIONS TSO
43,8957123111416388528,9101197449,9.3,TRACKING SOLUTIONS TSO
44,8957123111901412098,9101142761,9.2,TRACKING SOLUTIONS TSO
45,8957123112215382472,9101326828,9.13,TRACKING SOLUTIONS TSO
46,8957123112215168202,9101386494,9.08,TRACKING SOLUTIONS TSO
47,8957123112215161538,9101392591,8.79,TRACKING SOLUTIONS TSO
48,8957123111901412395,9101140849,8.64,TRACKING SOLUTIONS TSO
49,8957123112006379315,9101324110,8.6,TRACKING SOLUTIONS TSO
50,8957123112215167345,9101382596,8.55,TRACKING SOLUTIONS TSO
51,8957123112215170117,9101392310,8.51,TRACKING SOLUTIONS TSO
52,8957123112215383868,9101164749,8.73,TRACKING SOLUTIONS TSO
53,8957123411800051009,9101324207,8.47,TRACKING SOLUTIONS TSO
54,8957123112215162692,9101151929,8.44,TRACKING SOLUTIONS TSO
55,8957123112009139294,9101150511,8.43,TRACKING SOLUTIONS TSO
56,8957123111416388585,9101180246,8.42,TRACKING SOLUTIONS TSO
57,8957123112102786470,9101137977,8.33,TRACKING SOLUTIONS TSO
58,8957123112102786629,9101164029,8.25,TRACKING SOLUTIONS TSO
59,8957123112215163211,9101152294,8.11,TRACKING SOLUTIONS TSO
60,8957123112215166479,9101175821,8.07,TRACKING SOLUTIONS TSO
61,8957123112215382712,9101367451,8.05,TRACKING SOLUTIONS TSO
62,8957123112215163401,9101162534,8.04,TRACKING SOLUTIONS TSO
63,8957123110538885189,9101184312,8.02,TRACKING SOLUTIONS TSO
64,8957123111901412106,9101152422,8.02,TRACKING SOLUTIONS TSO
65,8957123611201373841,9101180258,7.95,TRACKING SOLUTIONS TSO
66,8957123112215168426,9101182943,7.95,TRACKING SOLUTIONS TSO
67,8957123112215165828,9101146314,7.93,TRACKING SOLUTIONS TSO
68,8957123411800584009,9101165915,7.92,TRACKING SOLUTIONS TSO
69,8957123112215380526,9101382471,7.89,TRACKING SOLUTIONS TSO
70,8957123112215169879,9101400303,7.84,TRACKING SOLUTIONS TSO
71,8957123112215160647,9101388732,7.83,TRACKING SOLUTIONS TSO
72,8957123112215162650,9101326629,7.83,TRACKING SOLUTIONS TSO
73,8957123112215162742,9101150848,7.83,TRACKING SOLUTIONS TSO
74,8957123112215384031,9101342666,7.8,TRACKING SOLUTIONS TSO
75,8957123112215166545,9101163818,7.78,TRACKING SOLUTIONS TSO
76,8957123112215165810,9101142660,7.73,TRACKING SOLUTIONS TSO
77,8957123112009139286,9101182238,7.72,TRACKING SOLUTIONS TSO
78,8957123112215162809,9101261176,7.72,TRACKING SOLUTIONS TSO
79,8957123112115871939,9101403054,7.72,TRACKING SOLUTIONS TSO
80,8957123112215162817,9101304726,7.71,TRACKING SOLUTIONS TSO
81,8957123111901412080,9101144670,7.71,TRACKING SOLUTIONS TSO
82,8957123112215383678,9101379661,7.7,TRACKING SOLUTIONS TSO
83,8957123112215160621,9101172212,7.68,TRACKING SOLUTIONS TSO
84,8957123411800049912,9101327991,7.67,TRACKING SOLUTIONS TSO
85,8957123112215383454,9101338343,7.65,TRACKING SOLUTIONS TSO
86,8957123112215167162,9101050886,7.64,TRACKING SOLUTIONS TSO
87,8957123112215167360,9101420899,7.59,TRACKING SOLUTIONS TSO
88,8957123112215160829,9101294358,7.58,TRACKING SOLUTIONS TSO
89,8957123112215165463,9101282233,7.58,TRACKING SOLUTIONS TSO
90,8957123110542474749,9101174466,7.57,TRACKING SOLUTIONS TSO
91,8957123112009139047,9101188189,7.56,TRACKING SOLUTIONS TSO
92,8957123110545807267,9101170595,7.56,TRACKING SOLUTIONS TSO
93,8957123112215162833,9101358269,7.55,TRACKING SOLUTIONS TSO
94,8957123112215165950,9101181712,7.54,TRACKING SOLUTIONS TSO
95,8957123112009139237,9101179427,7.54,TRACKING SOLUTIONS TSO
96,8957123112215383702,9101147349,7.53,TRACKING SOLUTIONS TSO
97,8957123112215383694,9101160741,7.51,TRACKING SOLUTIONS TSO
98,8957123112215164292,9101059817,7.5,TRACKING SOLUTIONS TSO
99,8957123112215166206,9101264821,7.47,TRACKING SOLUTIONS TSO
100,8957123112215168509,9101168073,7.46,TRACKING SOLUTIONS TSO
101,8957123112215162775,9101153775,7.45,TRACKING SOLUTIONS TSO
102,8957123112215383736,9101352250,7.42,TRACKING SOLUTIONS TSO
103,8957123112215166271,9101432993,7.38,TRACKING SOLUTIONS TSO
104,8957123112215383710,9101330741,7.38,TRACKING SOLUTIONS TSO
105,8957123112215164409,9101067187,7.37,TRACKING SOLUTIONS TSO
106,8957123112102787866,9101180314,7.37,TRACKING SOLUTIONS TSO
107,8957123112215169010,9101411975,7.37,TRACKING SOLUTIONS TSO
108,8957123112215383660,9101341012,7.37,TRACKING SOLUTIONS TSO
109,8957123111901412197,9101148580,7.37,TRACKING SOLUTIONS TSO
110,8957123112215160357,9101167645,7.36,TRACKING SOLUTIONS TSO
111,8957123112215383652,9101379650,7.36,TRACKING SOLUTIONS TSO
112,8957123112215166255,9101424960,7.35,TRACKING SOLUTIONS TSO
113,8957123112215169416,9101154642,7.3,TRACKING SOLUTIONS TSO
114,8957123112215163013,9101401868,7.29,TRACKING SOLUTIONS TSO
115,8957123112215384007,9101380569,7.28,TRACKING SOLUTIONS TSO
116,8957123112215162767,9101153785,7.27,TRACKING SOLUTIONS TSO
117,8957123112215165125,9101433489,7.27,TRACKING SOLUTIONS TSO
118,8957123112215380567,9101074065,7.26,TRACKING SOLUTIONS TSO
119,8957123112215163286,9101148380,7.25,TRACKING SOLUTIONS TSO
120,8957123112215383744,9101173958,7.25,TRACKING SOLUTIONS TSO
121,8957123112215164250,9101062331,7.25,TRACKING SOLUTIONS TSO
122,8957123411800051132,9101328017,7.24,TRACKING SOLUTIONS TSO
123,8957123411800049789,9101324117,7.23,TRACKING SOLUTIONS TSO
124,8957123112215340801,9101435527,7.22,TRACKING SOLUTIONS TSO
125,8957123112102786405,9101192023,7.16,TRACKING SOLUTIONS TSO
126,8957123112102787668,9101180297,7.15,TRACKING SOLUTIONS TSO
127,8957123112102788021,9101190177,7.14,TRACKING SOLUTIONS TSO
128,8957123411800583860,9101165961,7.13,TRACKING SOLUTIONS TSO
129,8957123111415884592,9101188201,7.12,TRACKING SOLUTIONS TSO
130,8957123112215165117,9101431625,7.1,TRACKING SOLUTIONS TSO
131,8957123112215164276,9101055720,7.08,TRACKING SOLUTIONS TSO
132,8957123112215167352,9101367982,7.04,TRACKING SOLUTIONS TSO
133,8957123112215169424,9101187821,7.04,TRACKING SOLUTIONS TSO
134,8957123411800053328,9101150407,7.04,TRACKING SOLUTIONS TSO
135,8957123112215160639,9101404130,7.0,TRACKING SOLUTIONS TSO
136,8957123112215167402,9101072110,6.97,TRACKING SOLUTIONS TSO
137,8957123112215166818,9101164230,6.96,TRACKING SOLUTIONS TSO
138,8957123111418035341,9101170599,6.89,TRACKING SOLUTIONS TSO
139,8957123311903277925,9101188166,6.86,TRACKING SOLUTIONS TSO
140,8957123112215165588,9101192619,6.85,TRACKING SOLUTIONS TSO
141,8957123112115871897,9101298908,6.85,TRACKING SOLUTIONS TSO
142,8957123112215163377,9101167647,6.82,TRACKING SOLUTIONS TSO
143,8957123112215165133,9101423704,6.81,TRACKING SOLUTIONS TSO
144,8957123112102786637,9101142752,6.8,TRACKING SOLUTIONS TSO
145,8957123112215165331,9101187689,6.77,TRACKING SOLUTIONS TSO
146,8957123112215164508,9101439138,6.76,TRACKING SOLUTIONS TSO
147,8957123112215169390,9101198319,6.75,TRACKING SOLUTIONS TSO
148,8957123311903277784,9101184290,6.73,TRACKING SOLUTIONS TSO
149,8957123112215380591,9101342721,6.73,TRACKING SOLUTIONS TSO
150,8957123411800053294,9101164035,6.71,TRACKING SOLUTIONS TSO
151,8957123112215163310,9101394191,6.67,TRACKING SOLUTIONS TSO
152,8957123112215382001,9101278499,6.67,TRACKING SOLUTIONS TSO
153,8957123112215166008,9101187869,6.63,TRACKING SOLUTIONS TSO
154,8957123112215383975,9101289381,6.56,TRACKING SOLUTIONS TSO
155,8957123112115871699,9101069341,6.56,TRACKING SOLUTIONS TSO
156,8957123112215164383,9101058531,6.51,TRACKING SOLUTIONS TSO
157,8957123112215162734,9101393639,6.49,TRACKING SOLUTIONS TSO
158,8957123111415884725,9101188143,6.49,TRACKING SOLUTIONS TSO
159,8957123411800051058,9101329898,6.49,TRACKING SOLUTIONS TSO
160,8957123112215165877,9101161895,6.48,TRACKING SOLUTIONS TSO
161,8957123112215165224,9101410094,6.48,TRACKING SOLUTIONS TSO
162,8957123112215383389,9101388814,6.46,TRACKING SOLUTIONS TSO
163,8957123112215166875,9101311300,6.46,TRACKING SOLUTIONS TSO
164,8957123112215340900,9101172168,6.44,TRACKING SOLUTIONS TSO
165,8957123112215166503,9101179725,6.43,TRACKING SOLUTIONS TSO
166,8957123112215340587,9101398673,6.4,TRACKING SOLUTIONS TSO
167,8957123112215164391,9101068124,6.39,TRACKING SOLUTIONS TSO
168,8957123112215164201,9101173913,6.39,TRACKING SOLUTIONS TSO
169,8957123112215166420,9101185750,6.3,TRACKING SOLUTIONS TSO
170,8957123112215165323,9101189674,6.27,TRACKING SOLUTIONS TSO
171,8957123111901412445,9101140818,6.25,TRACKING SOLUTIONS TSO
172,8957123112215383611,9101346417,6.24,TRACKING SOLUTIONS TSO
173,8957123112215382720,9101198300,6.23,TRACKING SOLUTIONS TSO
174,8957123112215162635,9101328582,6.18,TRACKING SOLUTIONS TSO
175,8957123112215169317,9101146942,6.15,TRACKING SOLUTIONS TSO
176,8957123112215162627,9101328657,6.14,TRACKING SOLUTIONS TSO
177,8957123112215383355,9101296617,6.13,TRACKING SOLUTIONS TSO
178,8957123112215169929,9101141463,6.11,TRACKING SOLUTIONS TSO
179,8957123112215165604,9101141737,6.08,TRACKING SOLUTIONS TSO
180,8957123411800053237,9101150400,6.06,TRACKING SOLUTIONS TSO
181,8957123112102786355,9101151432,6.06,TRACKING SOLUTIONS TSO
182,8957123112215382225,9101318042,6.05,TRACKING SOLUTIONS TSO
183,8957123112215384130,9101433512,6.04,TRACKING SOLUTIONS TSO
184,8957123110544024278,9101174479,6.03,TRACKING SOLUTIONS TSO
